work_dist,hhveh,hhsize
10384,2,5
0,0,2
0,2,4
0,1,2
1147,1,4
0,1,7
1081,2,4
0,1,2
0,2,7
0,1,3
33656,4,5
19959,1,5
19163,1,4
0,1,3
0,0,2
53686,4,7
0,1,3
0,2,4
0,1,3
0,1,2
0,3,1
0,2,2
0,0,2
1694,3,3
0,2,6
0,2,7
0,1,7
15587,2,7
51028,4,6
0,1,7
0,1,7
0,1,7
0,1,4
9803,1,6
12779,2,4
0,2,4
0,0,7
0,1,5
0,1,2
0,2,6
0,1,7
0,1,4
38065,4,5
18606,2,4
0,2,2
25842,4,5
10760,2,6
0,1,3
26241,1,7
0,1,3
0,3,7
0,1,2
0,1,4
4976,1,7
30415,2,6
19163,2,5
0,1,1
0,2,2
0,1,5
0,0,2
32348,2,7
0,3,6
5924,4,6
1391,1,5
342,1,4
10278,2,4
74508,2,6
4449,1,7
22824,2,7
0,0,2
2651,1,6
4637,2,4
10415,2,6
0,4,4
0,1,2
14171,1,4
12923,1,7
0,3,7
0,5,6
5976,1,1
57731,1,4
14727,1,4
0,2,2
0,2,3
4800,0,3
34072,2,5
0,2,7
0,1,2
5100,1,5
0,2,6
5431,1,4
96304,2,7
9168,2,6
5406,2,4
0,1,2
10394,2,7
0,3,4
10185,0,4
0,1,7
0,2,2
52073,2,4
0,2,6
0,4,5
45918,2,7
0,2,7
23194,1,6
13085,2,4
43808,2,6
0,1,7
0,1,3
16993,2,6
32524,2,6
7588,2,5
1337,1,4
0,1,2
4194,1,5
0,4,5
0,2,2
11194,2,7
6170,1,4
0,1,2
36710,2,5
0,2,7
54083,1,6
0,1,4
27241,2,5
8624,1,2
14124,2,6
32478,2,6
778,0,2
0,2,5
0,2,7
7279,1,7
8199,3,2
1868,1,4
0,2,7
12711,1,4
8229,0,4
18373,2,4
0,1,3
16638,3,4
18379,2,5
11950,2,6
14075,2,7
0,1,2
8035,1,5
10418,1,3
0,2,6
7686,2,5
0,2,6
0,3,7
0,2,7
0,2,5
32453,2,7
17909,1,3
21772,3,6
24804,2,6
0,1,5
0,3,7
0,1,7
0,1,7
13107,2,4
0,3,5
0,1,3
0,0,2
0,1,7
1169,2,5
10575,2,4
0,1,4
10768,2,7
4584,1,7
0,2,7
0,2,4
7366,2,6
0,0,2
1734,2,6
15131,0,4
26650,1,7
0,2,3
0,2,1
0,4,4
34691,2,7
0,1,4
0,4,3
0,0,7
19175,0,7
0,2,6
0,2,6
0,2,4
575,0,4
0,1,1
0,0,2
57335,1,2
0,1,2
0,1,6
10196,2,6
0,0,1
31516,2,7
19990,2,5
8460,2,6
23725,1,7
362,4,6
0,2,2
1644,0,7
0,1,5
0,1,7
0,1,2
10555,3,7
0,1,7
14846,3,6
9891,2,2
0,2,7
0,2,6
0,2,7
0,2,7
0,1,4
12237,3,7
0,1,3
16652,2,6
0,1,3
0,0,3
0,1,6
0,1,3
49803,2,7
10944,1,2
0,2,3
18913,1,3
7716,2,5
0,2,2
0,2,3
0,0,6
0,0,4
0,1,3
0,1,3
0,1,4
0,3,6
1036,2,6
0,2,7
0,2,3
8309,1,2
5570,0,3
4010,1,7
0,1,3
0,1,7
6372,1,6
0,2,3
18595,2,6
13201,2,7
0,1,7
4247,3,6
31842,2,7
29428,2,6
0,2,3
5589,1,7
0,3,6
5677,2,7
0,3,5
0,1,7
1975,1,6
1570,2,7
0,2,3
9385,2,4
11508,1,4
0,2,7
0,0,2
10729,2,2
0,2,4
15040,1,5
10412,1,4
0,1,2
10099,2,3
0,1,7
0,0,7
36074,2,4
0,2,7
0,2,7
0,1,4
7121,2,3
0,2,4
0,2,6
0,2,5
23224,1,3
0,2,7
0,0,3
9959,2,6
0,2,6
8992,2,7
83172,1,7
7914,1,6
0,1,3
0,1,4
22165,5,6
29030,3,6
8511,2,5
0,1,3
12421,3,6
0,2,6
0,0,2
9292,3,5
18873,2,6
0,2,7
0,0,1
0,1,7
0,0,5
54608,1,5
0,1,4
4107,1,6
20611,1,3
0,0,7
12533,1,6
10823,2,6
26332,2,6
0,1,3
12817,2,4
0,1,2
5589,2,6
4689,2,6
0,1,4
0,2,5
16020,2,4
10792,2,6
0,1,1
0,2,7
0,0,2
18248,3,4
1005,1,3
0,1,7
42288,2,1
0,0,2
31975,1,4
43745,1,3
18247,1,7
0,2,5
0,0,2
1460,2,7
37385,2,4
9493,2,5
33509,2,6
0,2,6
6754,2,6
0,4,6
38095,3,4
10970,1,5
0,1,4
0,0,1
0,0,2
27327,1,6
0,2,4
0,2,4
0,2,7
14242,1,6
0,2,4
0,0,7
0,1,3
0,2,3
0,2,3
0,3,4
0,2,3
10278,2,6
0,2,3
0,0,7
0,1,7
0,3,7
0,2,7
5487,2,5
0,1,4
0,2,5
0,1,4
23460,3,6
0,0,5
4916,0,7
0,2,3
27477,4,6
51818,1,7
0,2,4
0,2,2
0,5,7
22668,2,5
69062,2,6
27680,1,3
4202,2,7
0,2,7
1312,3,7
23582,2,3
0,1,2
0,1,7
0,0,2
20659,1,7
0,0,7
0,2,7
0,1,7
0,1,4
26768,1,6
4112,2,6
0,1,7
1666,2,3
0,2,7
0,2,4
19870,1,3
21982,3,3
784,1,2
3207,0,4
8650,1,1
5209,2,4
57847,2,6
0,3,6
1553,2,4
0,1,7
0,0,7
0,3,4
6314,2,6
0,2,6
0,2,4
0,1,2
5463,2,2
17397,2,6
0,1,6
0,1,1
0,1,6
0,2,3
0,1,2
18103,4,4
0,0,1
0,2,7
26397,2,7
0,2,5
0,0,2
0,1,7
0,1,7
0,1,4
13766,1,7
0,1,2
0,0,2
4053,1,6
103581,1,3
7347,1,7
0,0,2
0,1,7
50158,4,7
0,2,2
0,0,1
0,2,7
11010,1,6
17991,1,3
12298,1,7
0,3,7
17956,2,4
8833,2,6
34176,2,4
0,1,6
23197,2,4
0,1,4
0,1,7
21218,1,5
0,5,7
0,1,6
3054,3,6
0,1,2
16990,3,6
0,1,3
0,1,4
36540,2,4
21113,1,3
18425,3,7
0,2,7
869,1,4
6145,1,4
0,1,3
4715,1,7
9463,2,6
18060,2,4
0,1,6
19026,0,2
0,1,2
12657,2,5
2392,1,7
20644,0,4
21149,1,7
0,1,4
0,0,7
15972,1,6
149877,2,4
0,1,3
0,2,4
0,0,2
521,2,3
0,0,1
31696,1,7
32935,2,6
0,0,2
0,3,7
25840,4,5
30014,2,4
0,1,4
0,3,3
0,1,2
34372,2,5
0,1,3
0,1,7
39192,2,7
3753,1,6
44596,2,5
3908,2,3
0,1,4
0,1,4
243,1,3
30814,1,5
19272,3,6
18187,1,7
0,1,3
5422,2,6
0,0,7
0,2,4
0,0,2
0,1,4
