householdid,householdzone
100002,518
100005,1254
100007,133
100008,2241
100010,3652
100012,3656
100020,2441
100037,2620
100038,520
100042,1117
100051,3810
100053,3325
100057,3675
100059,4191
100060,243
100061,179
100067,1069
100075,2435
100077,554
100089,3344
100091,4110
100095,2435
100100,1097
100106,4058
100109,1072
100110,151
100114,21
100115,131
100120,3656
100122,1060
100126,562
100133,618
100137,249
100142,3354
100147,1133
100149,4030
100153,1123
100158,1130
100160,1263
100161,3193
100162,3370
100163,3361
100164,2608
100165,1097
100168,3430
100172,3376
100179,4149
100181,3628
100182,1314
100186,619
100187,134
100201,1181
100202,1279
100208,3675
100209,3878
100222,1122
100224,3656
100229,2620
100238,3370
100246,3481
100248,1018
100263,3607
100268,1017
100269,588
100281,3688
100286,3367
100288,347
100292,1140
100293,1075
100302,396
100304,461
100306,43
100314,3449
100326,2861
100327,1129
100338,531
100346,377
100347,552
100348,593
100368,1046
100369,2440
100376,3430
100377,536
100382,181
100384,520
100386,383
100394,413
100398,3629
100404,3714
100416,320
100420,2013
100424,405
100425,163
100431,4120
100434,2608
100437,306
100450,3347
100458,3602
100462,1060
100463,132
100464,4183
100471,2237
100473,588
100477,3361
100478,406
100479,45
100480,4060
100487,1214
100502,2455
100507,2241
100510,405
100515,154
100518,385
100522,135
100525,375
100527,3344
100529,374
100536,3456
100558,385
100560,3376
100565,365
100573,3449
100574,523
100575,4038
100589,3486
100596,389
100597,3670
100598,461
100602,1173
100604,374
100609,157
100610,618
100616,443
100619,318
100626,1075
100639,572
100642,4167
100643,139
100646,171
100651,135
100653,1124
100657,3456
100660,1076
100665,157
100674,131
100682,4060
100687,181
100694,1153
100703,3387
100704,184
100707,374
100721,410
100725,2709
100729,1069
100732,131
100735,1122
100739,1060
100745,1129
100756,3506
100773,3864
100774,3449
100776,4060
100787,1211
100789,3346
100799,3365
100803,3356
100811,567
100812,1097
100814,2871
100816,1153
100828,3864
100831,528
100832,397
100834,3607
100835,3629
100836,368
100838,3712
100851,3629
100859,2705
100862,3360
100869,531
100872,520
100874,3494
100885,3350
100887,133
100888,353
100891,2708
100892,181
100899,133
100908,4105
100909,531
100910,150
100922,3506
100936,138
100937,1190
100944,385
100954,353
100955,135
100959,3632
100974,3493
100976,1331
100981,347
100984,375
100987,3671
100991,3436
100992,400
100994,490
100995,478
100997,411
101001,2135
101004,407
101006,3864
101009,3456
101015,398
101017,4026
101018,183
101024,396
101027,173
101030,4154
101031,152
101036,389
101044,2859
101053,3344
101055,402
101056,1132
101062,3712
101065,3325
101071,152
101072,3337
101081,3489
101082,216
101087,400
101091,3630
101095,618
101102,2022
101107,2122
101112,164
101115,3712
101116,4110
101119,1125
101123,1068
101127,171
101138,1121
101141,3606
101143,287
101146,375
101148,366
101154,4190
101161,2867
101162,4110
101165,1060
101168,411
101169,163
101170,3199
101171,3619
101176,407
101178,3348
101189,524
101190,3620
101192,1279
101194,375
101207,3628
101211,581
101215,1121
101216,2098
101221,4098
101228,1129
101230,1213
101235,2132
101236,212
101244,1069
101246,620
101264,3675
101274,1061
101280,407
101282,164
101289,3656
101290,3375
101298,368
101301,3346
101302,3688
101315,375
101317,3640
101319,3456
101329,4045
101337,4110
101341,3672
101351,385
101352,135
101355,2455
101358,1216
101366,1072
101371,3712
101375,3354
101386,3607
101400,3678
101404,243
101406,19
101415,1145
101417,532
101422,588
101426,3355
101431,137
101436,3841
101444,518
101450,2133
101452,553
101453,154
101467,3350
101483,3669
101484,2861
101485,552
101486,3516
101487,181
101490,3348
101497,3456
101499,3355
101507,3361
101508,621
101510,389
101513,3685
101518,3516
101521,2136
101525,2244
101531,306
101532,536
101544,396
101545,3643
101548,578
101555,3657
101565,4029
101571,613
101574,318
101579,3354
101590,2212
101600,135
101607,3866
101612,3456
101613,3358
101618,3449
101619,3429
101621,519
101627,399
101631,3193
101634,140
101637,405
101648,3344
101652,3516
101654,2053
101657,3670
101658,2054
101659,3375
101660,377
101664,340
101673,3811
101678,3429
101680,3436
101688,400
101696,163
101705,3469
101707,3344
101708,3493
101710,2377
101711,406
101724,385
101725,3863
101745,1192
101749,402
101751,3496
101760,1069
101765,132
101770,135
101771,2014
101774,400
101778,532
101781,3656
101785,3628
101787,3346
101794,3348
101797,374
101799,2435
101806,2869
101813,3337
101815,1076
101820,376
101823,374
101846,3456
101849,3629
101854,2869
101863,3354
101864,3669
101865,375
101872,1211
101873,3629
101874,3354
101879,3810
101900,4041
101901,3361
101902,537
101906,3493
101907,621
101935,4119
101938,524
101940,490
101941,413
101942,3384
101949,3712
101962,4059
101966,4105
101972,4191
101978,4036
101990,389
102000,154
102001,389
102005,131
102007,2417
102017,4160
102020,3652
102027,3496
102040,3607
102043,532
102047,2451
102050,2142
102054,2101
102059,621
102061,3491
102068,2455
102072,522
102076,4069
102077,134
102083,1075
102084,1213
102089,3366
102104,4016
102106,2101
102110,365
102116,3344
102120,1134
102122,3841
102123,250
102136,478
102141,389
102143,538
102147,382
102151,177
102152,2252
102159,131
102163,621
102165,3691
102174,507
102178,518
102179,154
102183,3358
102192,364
102193,181
102201,1060
102215,1076
102222,3619
102228,4110
102229,3367
102239,2054
102242,3496
102250,3671
102252,134
102253,2418
102254,210
102261,131
102267,619
102270,3190
102273,328
102274,1063
102276,3655
102290,3641
102292,3810
102293,4030
102300,1061
102302,4118
102306,3656
102314,2861
102315,2255
102328,600
102331,2613
102333,1254
102340,133
102345,3673
102350,133
102353,1129
102358,2055
102361,389
102367,3346
102372,4027
102373,4110
102374,3431
102383,3691
102386,3492
102388,571
102389,3664
102410,4110
102419,353
102420,3190
102424,520
102427,407
102429,4026
102436,181
102444,4060
102445,3670
102454,4041
102455,396
102458,3716
102459,478
102460,1072
102461,3657
102465,409
102473,3337
102479,2455
102482,575
102493,46
102500,383
102506,185
102508,3628
102517,365
102526,239
102531,3711
102534,188
102538,3516
102540,403
102543,396
102545,403
102549,3652
102552,375
102556,3691
102560,3376
102562,140
102564,154
102576,3384
102603,2419
102611,150
102613,1034
102617,3448
102621,135
102645,2454
102650,3354
102654,137
102662,2863
102665,139
102677,3688
102681,3656
102682,2855
102692,552
102696,374
102697,3493
102714,3863
102717,137
102721,132
102722,3375
102727,1216
102730,382
102734,2102
102739,412
102745,191
102762,4156
102765,480
102772,306
102775,518
102783,3489
102792,3672
102806,3628
102810,3489
102811,380
102816,3656
102821,3360
102823,1182
102829,3488
102836,410
102842,491
102852,575
102864,3354
102865,2053
102866,3723
102876,389
102878,537
102880,552
102883,135
102884,1076
102888,4059
102891,3484
102902,3652
102918,1122
102919,411
102920,1185
102921,406
102935,3842
102938,3643
102943,153
102944,587
102946,155
102948,382
102952,3432
102959,4166
102965,397
102970,2133
102976,132
102990,403
102995,179
102998,3629
103001,559
103004,1195
103012,519
103018,133
103021,3494
103027,385
103031,152
103042,3616
103043,620
103046,1305
103048,476
103053,3344
103059,3356
103065,3344
103067,2613
103073,552
103079,3629
103089,385
103091,4120
103099,4196
103101,403
103103,613
103123,4119
103124,152
103144,3691
103160,2135
103162,532
103165,552
103168,3458
103179,383
103181,2135
103182,3629
103190,412
103208,3671
103213,3361
103219,152
103232,132
103237,3489
103240,132
103241,405
103248,363
103256,1137
103271,3606
103274,1031
103276,373
103281,390
103283,3653
103291,613
103298,2013
103308,3651
103316,532
103322,179
103323,3367
103325,1038
103331,139
103334,2108
103340,3670
103343,412
103355,178
103356,2455
103366,347
103375,249
103387,3516
103398,621
103405,3638
103409,372
103414,3449
103415,134
103416,3628
103422,2873
103436,403
103437,3694
103438,3685
103450,380
103451,554
103458,3694
103459,184
103460,3493
103463,479
103465,567
103466,2054
103471,3346
103473,4127
103476,619
103501,3356
103504,3691
103505,363
103517,3430
103519,4026
