householdzone,taz_area_m,taz_area_h
2396,798993,80
4001,4962431,496
4002,3861688,386
4003,2697203,270
4004,2214874,221
4005,3711400,371
4006,4894934,489
4007,2335731,234
4008,2015978,202
4009,1236054,124
4010,981716,98
4011,6004090,600
4012,1444611,144
4013,631027,63
4014,1282793,128
4015,850835,85
4016,1860336,186
4017,3610630,361
4018,3126230,313
4019,1166991,117
4020,4978954,498
4021,1562636,156
4022,1875852,188
4023,2991349,299
4024,4178092,418
4025,2146322,215
4026,2080513,208
4027,1586277,159
4028,775504,78
4029,1929326,193
4030,1434521,143
4031,1893855,189
4032,851106,85
4033,2059032,206
4034,808806,81
4035,1148597,115
4036,1439919,144
4037,2672851,267
4038,1675815,168
4039,3746562,375
4040,3401897,340
4041,3352763,335
4042,4225433,423
4043,1151838,115
4044,3052449,305
4045,4093044,409
4046,1578777,158
4047,6292847,629
4048,3408567,341
4049,2854394,285
4050,1029149,103
4051,1693941,169
4052,3975107,398
4053,2655927,266
4054,2006288,201
4055,1626476,163
4056,1983218,198
4057,2086797,209
4058,1169731,117
4059,1915834,192
4060,1612032,161
4061,1553087,155
4062,1734724,173
4063,1126727,113
4064,1071532,107
4065,1592947,159
4066,1177617,118
4067,1029183,103
4068,1136354,114
4069,2395948,240
4070,781554,78
4071,1174728,117
4072,1683109,168
4073,1658145,166
4074,2086473,209
4075,1804425,180
4076,2065853,207
4077,2261024,226
4078,4190044,419
4079,4125491,413
4080,4139983,414
4081,2757902,276
4082,2036403,204
4083,2103749,210
4084,3858512,386
4085,1677458,168
4086,1255552,126
4087,1123001,112
4088,3488848,349
4089,3565402,357
4090,2367637,237
4091,8773042,877
4092,6070212,607
4093,15245617,1525
4094,13650797,1365
4095,3283525,328
4096,12992082,1299
4097,12944863,1294
4098,9302609,930
4099,12790210,1279
4100,19741340,1974
4101,4224800,422
4102,1466128,147
4103,1777805,178
4104,2874051,287
4105,2679883,268
4106,14038585,1404
4107,2133311,213
4108,2080193,208
4109,3162771,316
4110,3191201,319
4111,3413654,341
4112,2984513,298
4113,22103222,2210
4114,12577074,1258
4115,11101379,1110
4116,2344345,234
4117,1745115,175
4118,1276504,128
4119,2158753,216
4120,2125393,213
4121,4254593,425
4122,2244428,224
4123,1730309,173
4124,2544642,254
4125,2901625,290
4126,2112161,211
4127,2506485,251
4128,2032383,203
4129,1605425,161
4130,3491941,349
4131,4076069,408
4132,10101585,1010
4133,12999739,1300
4134,12869213,1287
4135,16544771,1654
4136,5672342,567
4137,19493347,1949
4138,5527948,553
4139,34483663,3448
4140,30784417,3078
4141,22620911,2262
4142,16267232,1627
4143,23838025,2384
4144,2520518,252
4145,830585,83
4147,902982,90
4148,2890977,289
4149,29045805,2905
4150,1742959,174
4151,790367,79
4152,1590064,159
4153,2127875,213
4154,25616240,2562
4155,17174576,1717
4156,3333410,333
4157,1172433,117
4158,1750811,175
4159,1527308,153
4160,3249170,325
4161,539384,54
4162,2367650,237
4163,2236565,224
4164,2111264,211
4165,6068983,607
4166,2571699,257
4167,7631079,763
4168,8520551,852
4169,23839068,2384
4170,34113116,3411
4171,6056052,606
4172,14703028,1470
4173,16890442,1689
4174,25293901,2529
4175,16961655,1696
4176,923472,92
4177,2078278,208
4178,1896841,190
4179,4861815,486
4180,4394154,439
4181,1774864,177
4182,2624471,262
4183,4392346,439
4184,4448582,445
4185,5457936,546
4186,4128688,413
4187,2806094,281
4188,2804030,280
4189,3444883,344
4190,1439770,144
4191,3698816,370
4192,1785333,179
4193,885468,89
4194,1065120,107
4195,5814918,581
4196,898343,90
4197,804817,80
5001,35286261,3529
5002,3891716,389
5003,16285483,1629
5004,19806634,1981
5005,3868285,387
5006,2229491,223
5007,4305106,431
5008,16253937,1625
5009,4255313,426
5010,2479750,248
5011,4329465,433
5012,17131769,1713
5013,14326013,1433
5014,4240485,424
5015,2450132,245
5016,11451069,1145
5017,2076606,208
5018,19163894,1916
5020,11871234,1187
5021,1822819,182
5023,2295532,230
5025,2303936,230
5026,1551461,155
5027,5102817,510
5028,3367484,337
5030,37778034,3778
5031,1330698,133
5032,1799144,180
5033,3904716,390
5034,1422926,142
5035,1747891,175
5036,50844508,5084
5037,1650687,165
5038,3989376,399
5039,1863909,186
5040,2169371,217
5041,2355721,236
5042,6967062,697
5043,1470813,147
5044,1421986,142
5045,1043352,104
5046,1474015,147
5047,2243023,224
5048,5743969,574
5049,5454742,545
5050,1302578,130
5051,1360315,136
5052,2300104,230
5053,1524123,152
5054,3064379,306
5055,5001352,500
5056,1364253,136
5057,842445,84
5058,2660292,266
5059,2849556,285
5060,827334,83
5061,6158238,616
5062,744669,74
5063,851952,85
5065,2229282,223
5066,1992069,199
5067,2065730,207
5068,944589,94
5069,889769,89
5071,751175,75
5072,32587729,3259
5073,2944019,294
5074,857289,86
5075,872246,87
5076,923267,92
5077,3109025,311
5078,2310293,231
5079,515049,52
5080,618923,62
5081,953109,95
5082,1198040,120
5084,1696546,170
5086,1057731,106
5087,466811,47
5088,3896462,390
5089,1326742,133
5090,828663,83
5091,760614,76
5092,887097,89
5093,783072,78
5094,2679357,268
5095,861818,86
5096,907177,91
5097,876585,88
5098,930434,93
5099,1066117,107
5100,2668995,267
5101,1351559,135
5102,802884,80
5103,18562647,1856
5104,1522074,152
5105,1491410,149
5106,915486,92
5107,631630,63
5108,1853868,185
5109,8125382,813
5110,863198,86
5111,1260981,126
5112,774360,77
5113,967053,97
5114,821558,82
5115,1114986,111
5116,905891,91
5117,523784,52
5118,1030777,103
5119,1752608,175
5120,721482,72
5121,854424,85
5122,832835,83
5123,737775,74
5125,427078,43
5126,422648,42
5127,1030569,103
5128,872415,87
5129,964163,96
5130,919131,92
5131,1023314,102
5132,1036836,104
5133,2970492,297
5135,1061227,106
5136,907948,91
5137,4546278,455
5138,6712181,671
5139,1510370,151
5140,1789931,179
5141,961241,96
5142,457462,46
5143,1076024,108
5144,1172780,117
5145,1807240,181
5147,496797,50
5148,1933623,193
5149,542855,54
5150,741965,74
5151,1164496,116
5153,1292038,129
5154,484505,48
5155,696872,70
5156,264263,26
5157,496820,50
5158,1333897,133
5159,444816,44
5160,1197185,120
5161,624081,62
5162,378947,38
5163,196773,20
5164,448763,45
5165,525624,53
5166,1277961,128
5167,206907,21
5168,227187,23
5169,1609446,161
5170,547388,55
5171,136088,14
5172,364308,36
5173,326137,33
5174,345563,35
5175,1860625,186
5176,721151,72
5177,73110744,7311
5178,1350654,135
5179,139605,14
5180,599012,60
5181,551792,55
5182,2519306,252
5183,676210,68
5184,148791,15
5185,891478,89
5186,337026,34
5187,167447,17
5188,605332,61
5190,108487,11
5191,1980882,198
5192,397360,40
5193,189858,19
5194,598054,60
5195,180371,18
5196,1423758,142
5197,5946346,595
5198,1686027,169
5199,568278,57
5200,639084,64
5201,578433,58
5202,1679880,168
5203,1149314,115
5204,396373,40
5205,1175133,118
5206,1979760,198
5207,2452145,245
5208,1878230,188
5210,5658177,566
5211,1796769,180
5212,2952412,295
5213,5714569,571
5214,10239558,1024
5215,5470131,547
5216,90952263,9095
5219,46398245,4640
5223,34076653,3408
5224,37610597,3761
5225,54027972,5403
5226,30683895,3068
5227,31531695,3153
5228,3386521,339
5229,5021270,502
5230,2089495,209
5231,924324,92
5232,2982864,298
5233,1876243,188
5234,1120890,112
5235,2748449,275
5236,867609,87
5237,803211,80
5238,1491720,149
5239,2327169,233
5240,1035327,104
5241,2160175,216
5242,1980048,198
5243,3304961,330
5244,546645,55
5245,1445495,145
5246,1064837,106
5247,3251932,325
5248,15165004,1517
5249,8074932,807
5250,38676011,3868
5251,4749366,475
5252,936754,94
5253,1105449,111
8401,3730000,373
8402,2413528,241
8403,6130549,613
8404,1928033,193
8405,1205625,121
